sno,deptName,courseName,semId,sectionId,subjectName,facultyName
1,MECH,Btech,semester1,section1,"Engineering Mechanics","Prof. Richard Turner"
2,MECH,Btech,semester1,section1,Mathematics-I,"Dr Srikar varma"
3,MECH,Btech,semester1,section1,Physics-I,"Prof sravika"
4,MECH,Btech,semester1,section1,Chemistry,"Prof chekri"
5,MECH,Btech,semester1,section1,"ComPuter Programming","Dr. Megan Clark"
6,MECH,Btech,semester1,section1,"Engineering Drawing (Lab)","Prof. Matthew Harris"
7,MECH,Btech,semester1,section1,"ComPuter Programming (Lab)","Dr. Megan Clark"
8,MECH,Btech,semester1,section2,"Engineering Mechanics","Prof. Thomas Wilson"
9,MECH,Btech,semester1,section2,Mathematics-I,"Prof Praneeth"
10,MECH,Btech,semester1,section2,Physics-I,"Prof padmavathi"
11,MECH,Btech,semester1,section2,Chemistry,"Dr Manohar"
12,MECH,Btech,semester1,section2,"ComPuter Programming","Prof. Jonathan Thomas"
13,MECH,Btech,semester1,section2,"Engineering Drawing (Lab)","Prof. Patrick Turner"
14,MECH,Btech,semester1,section2,"ComPuter Programming (Lab)","Prof. Jonathan Thomas"
15,MECH,Btech,semester2,section1,Thermodynamics,"Dr. Jessica Turner"
16,MECH,Btech,semester2,section1,Mathematics-II,"Dr Srikar varma"
17,MECH,Btech,semester2,section1,Physics-II,"Prof sravika"
18,MECH,Btech,semester2,section1,"Material Science","Dr. Rachel Scott"
19,MECH,Btech,semester2,section1,"Electrical Circuits","Prof. Elizabeth White"
20,MECH,Btech,semester2,section1,"Material Science (Lab)","Prof. Patrick Turner"
21,MECH,Btech,semester2,section1,"Electrical Circuits (Lab)","Prof. Elizabeth White"
22,MECH,Btech,semester2,section2,Thermodynamics,"Dr. Laura Parker"
23,MECH,Btech,semester2,section2,Mathematics-II,"Prof Praneeth"
24,MECH,Btech,semester2,section2,Physics-II,"Prof padmavathi"
25,MECH,Btech,semester2,section2,"Material Science","Prof. Thomas Wilson"
26,MECH,Btech,semester2,section2,"Electrical Circuits","Dr. Benjamin Clark"
27,MECH,Btech,semester2,section2,"Material Science (Lab)","Dr. Emily Allen"
28,MECH,Btech,semester2,section2,"Electrical Circuits (Lab)","Dr. Benjamin Clark"
29,MECH,Btech,semester3,section1,"Fluid Mechanics","Prof. Patrick Turner"
30,MECH,Btech,semester3,section1,"Engineering Mathematics-III","Dr Srikar varma"
31,MECH,Btech,semester3,section1,"Mechanics of Solids","Prof. Eric Mitchell"
32,MECH,Btech,semester3,section1,"Manufacturing Processes-I","Dr. Amanda Reed"
33,MECH,Btech,semester3,section1,"Kinematics of Machinery","Dr. Melissa Green"
34,MECH,Btech,semester3,section1,"Fluid Mechanics (Lab)","Dr. Rachel Scott"
35,MECH,Btech,semester3,section1,"Mechanics of Solids (Lab)","Prof. Brian Martinez"
36,MECH,Btech,semester3,section2,"Fluid Mechanics","Dr. Amanda Reed"
37,MECH,Btech,semester3,section2,"Engineering Mathematics-III","Prof Praneeth"
38,MECH,Btech,semester3,section2,"Mechanics of Solids","Dr. Rachel Scott"
39,MECH,Btech,semester3,section2,"Manufacturing Processes-I","Prof. Thomas Wilson"
40,MECH,Btech,semester3,section2,"Kinematics of Machinery","Dr. Amanda Reed"
41,MECH,Btech,semester3,section2,"Fluid Mechanics (Lab)","Prof. Brian Martinez"
